official_name_en,Capital,Continent,Developed / Developing Countries,FIFA,Sub-region Name
Montenegro,Podgorica,EU,Developed,MNE,Southern Europe
Montserrat,Plymouth,NA,Developing,MSR,Latin America and the Caribbean
Morocco,Rabat,AF,Developing,MAR,Northern Africa
Mozambique,Maputo,AF,Developing,MOZ,Sub-Saharan Africa
Myanmar,Nay Pyi Taw,AS,Developing,MYA,South-eastern Asia
Namibia,Windhoek,AF,Developing,NAM,Sub-Saharan Africa
Nauru,Yaren,OC,Developing,NRU,Micronesia
Nepal,Kathmandu,AS,Developing,NEP,Southern Asia
Netherlands,Amsterdam,EU,Developed,NED,Western Europe
New Caledonia,Noumea,OC,Developing,NCL,Melanesia
New Zealand,Wellington,OC,Developed,NZL,Australia and New Zealand
Nicaragua,Managua,NA,Developing,NCA,Latin America and the Caribbean
Niger,Niamey,AF,Developing,NIG,Sub-Saharan Africa
Nigeria,Abuja,AF,Developing,NGA,Sub-Saharan Africa
Niue,Alofi,OC,Developing,NIU,Polynesia
Norfolk Island,Kingston,OC,Developed,NFK,Australia and New Zealand
Northern Mariana Islands,Saipan,OC,Developing,NMI,Micronesia
Norway,Oslo,EU,Developed,NOR,Northern Europe
Oman,Muscat,AS,Developing,OMA,Western Asia
Pakistan,Islamabad,AS,Developing,PAK,Southern Asia
Palau,Melekeok,OC,Developing,PLW,Micronesia
Panama,Panama City,NA,Developing,PAN,Latin America and the Caribbean
Papua New Guinea,Port Moresby,OC,Developing,PNG,Melanesia
Paraguay,Asuncion,SA,Developing,PAR,Latin America and the Caribbean
Peru,Lima,SA,Developing,PER,Latin America and the Caribbean
Philippines,Manila,AS,Developing,PHI,South-eastern Asia
Pitcairn,Adamstown,OC,Developing,PCN,Polynesia
Poland,Warsaw,EU,Developed,POL,Eastern Europe
Portugal,Lisbon,EU,Developed,POR,Southern Europe
Puerto Rico,San Juan,NA,Developing,PUR,Latin America and the Caribbean
Qatar,Doha,AS,Developing,QAT,Western Asia
Korea Republic,Seoul,AS,Developing,KOR,Eastern Asia
Moldova,Chisinau,EU,Developed,MDA,Eastern Europe
Romania,Bucharest,EU,Developed,ROU,Eastern Europe
Russia,Moscow,EU,Developed,RUS,Eastern Europe
Rwanda,Kigali,AF,Developing,RWA,Sub-Saharan Africa
RÃ©union,Saint-Denis,AF,Developing,REU,Sub-Saharan Africa
Saint BarthÃ©lemy,Gustavia,NA,Developing,Â ,Latin America and the Caribbean
Saint Helena,Jamestown,AF,Developing,SHN,Sub-Saharan Africa
St Kitts Nevis,Basseterre,NA,Developing,SKN,Latin America and the Caribbean
St Lucia,Castries,NA,Developing,LCA,Latin America and the Caribbean
Saint Martin (French Part),Marigot,NA,Developing,Â ,Latin America and the Caribbean
Saint Pierre and Miquelon,Saint-Pierre,NA,Developed,SPM,Northern America
Saint Vincent and the Grenadines,Kingstown,NA,Developing,VIN,Latin America and the Caribbean
Samoa,Apia,OC,Developing,SAM,Polynesia
San Marino,San Marino,EU,Developed,SMR,Southern Europe
SÃ£o TomÃ© & PrÃ_ncipe,Sao Tome,AF,Developing,STP,Sub-Saharan Africa
Sark,,,Developed,,Northern Europe
Saudi Arabia,Riyadh,AS,Developing,KSA,Western Asia
Senegal,Dakar,AF,Developing,SEN,Sub-Saharan Africa
Serbia,Belgrade,EU,Developed,SRB,Southern Europe
Seychelles,Victoria,AF,Developing,SEY,Sub-Saharan Africa
Sierra Leone,Freetown,AF,Developing,SLE,Sub-Saharan Africa
Singapore,Singapore,AS,Developing,SIN,South-eastern Asia
Sint Maarten (Dutch part),Philipsburg,NA,Developing,,Latin America and the Caribbean
Slovakia,Bratislava,EU,Developed,SVK,Eastern Europe
Slovenia,Ljubljana,EU,Developed,SVN,Southern Europe
Solomon Islands,Honiara,OC,Developing,SOL,Melanesia
Somalia,Mogadishu,AF,Developing,SOM,Sub-Saharan Africa
South Africa,Pretoria,AF,Developing,RSA,Sub-Saharan Africa
South Georgia and the South Sandwich Islands,Grytviken,AN,Developing,,Latin America and the Caribbean
South Sudan,Juba,AF,Developing,,Sub-Saharan Africa
Spain,Madrid,EU,Developed,ESP,Southern Europe
Sri Lanka,Colombo,AS,Developing,SRI,Southern Asia
Palestine,East Jerusalem,AS,Developing,PLE,Western Asia
Sudan,Khartoum,AF,Developing,SUD,Northern Africa
Suriname,Paramaribo,SA,Developing,SUR,Latin America and the Caribbean
Svalbard and Jan Mayen Islands,Longyearbyen,EU,Developed,,Northern Europe
Swaziland,Mbabane,AF,Developing,SWZ,Sub-Saharan Africa
Sweden,Stockholm,EU,Developed,SWE,Northern Europe
Switzerland,Bern,EU,Developed,SUI,Western Europe
Syrian Arab Republic,Damascus,AS,Developing,SYR,Western Asia
Tajikistan,Dushanbe,AS,Developing,TJK,Central Asia
Thailand,Bangkok,AS,Developing,THA,South-eastern Asia
FYR Macedonia,Skopje,EU,Developed,MKD,Southern Europe
Timor-Leste,Dili,OC,Developing,TLS,South-eastern Asia
Togo,Lome,AF,Developing,TOG,Sub-Saharan Africa
Tokelau,,OC,Developing,TKL,Polynesia
Tonga,Nuku'alofa,OC,Developing,TGA,Polynesia
Trinidad and Tobago,Port of Spain,NA,Developing,TRI,Latin America and the Caribbean
Tunisia,Tunis,AF,Developing,TUN,Northern Africa
Turkey,Ankara,AS,Developing,TUR,Western Asia
Turkmenistan,Ashgabat,AS,Developing,TKM,Central Asia
Turks and Caicos Islands,Cockburn Town,NA,Developing,TCA,Latin America and the Caribbean
Tuvalu,Funafuti,OC,Developing,TUV,Polynesia
Uganda,Kampala,AF,Developing,UGA,Sub-Saharan Africa
Ukraine,Kiev,EU,Developed,UKR,Eastern Europe
United Arab Emirates,Abu Dhabi,AS,Developing,UAE,Western Asia
England,London,EU,Developed,ENG,Northern Europe
United Republic of Tanzania,Dodoma,AF,Developing,TAN,Sub-Saharan Africa
United States Minor Outlying Islands,,OC,Developing,,Micronesia
United States Virgin Islands,Charlotte Amalie,NA,Developing,VIR,Latin America and the Caribbean
United States of America,Washington,NA,Developed,USA,Northern America
Uruguay,Montevideo,SA,Developing,URU,Latin America and the Caribbean
Uzbekistan,Tashkent,AS,Developing,UZB,Central Asia
Vanuatu,Port Vila,OC,Developing,VAN,Melanesia
Venezuela (Bolivarian Republic of),Caracas,SA,Developing,VEN,Latin America and the Caribbean
Viet Nam,Hanoi,AS,Developing,VIE,South-eastern Asia
Wallis and Futuna Islands,Mata Utu,OC,Developing,WLF,Polynesia
Western Sahara,El-Aaiun,AF,Developing,SAH,Northern Africa
Yemen,Sanaa,AS,Developing,YEM,Western Asia
Zambia,Lusaka,AF,Developing,ZAM,Sub-Saharan Africa
Zimbabwe,Harare,AF,Developing,ZIM,Sub-Saharan Africa
Ã…land Islands,Mariehamn,EU,Developed,ALD,Northern Europe
Kosovo,Pristina,EU,Developing,RKS,Southern Europe
Northern Ireland,Belfast,EU,Developed,NIR,Northern Europe
Scotland,Edinburgh,EU,Developed,SCT,Northern Europe
